,real,preds
3256,i love to swim and spend time with my loved ones! i also learn every day., i like to swim in the ocean and feel in tune with its inhabitants.<|endoftext|>
3257,very nice! i love bacon but i am so afraid it will draw in insects.,biology is fascinating. i was born in the usa but live in europe now.<|endoftext|>
3258,"what do you look like? i have no feet, but i have a tail!", eating bugs will draw them out too. do you work?<|endoftext|>
3259,"no feet, i am sorry! i am tall english speaking adult!",i look like a lady with brown hair. i love eating pizza.<|endoftext|>
3260,it is okay! i live in the ocean and my friends are sea creatures!,", well i wish i was taller..... i wish i was a mermaid.......<|endoftext|>"
3261,that is fun! do you work in the sea too?, what kind of music do you like? i love classical.<|endoftext|>
3262,"no, i go to school every day! do you work?","yep, i am a mermaid!<|endoftext|>"
3263,"yes, as an engineer. do you have pets?",nasa is where i work. i just sit around and eat bugs.<|endoftext|>
3264,"no, but i have lots of animal friends! i think i would like pets."," no, i don't have any pets. just my students.<|endoftext|>"
3265,"i want one, but i think their food will bring in insects.",<|endoftext|>
3266,are you afraid of insects? they could be your friends!,bugs are so cool!<|endoftext|>
3267,i am terrified of them!!,<|endoftext|>
3268,oh no! so sorry to scare you! what do you like?,<|endoftext|>
3269,"the two bs, bacon and bach. are you a mermaid?",mostly i like watching movies and listening to classical music.<|endoftext|>
3270,yo hows it hanging tonight, when i was in the military<|endoftext|>
3271,its going well. just got done with a singing gig. you?,"good, i'm here in the us. where are you from?<|endoftext|>"
3272,i am in the hospital with stitches in my cornea,good good good good good good. i love the island<|endoftext|>
3273,so sorry to hear that. reminds me of a horror movie i just watched, sing for me!!! i'll be singing along with you.<|endoftext|>
3274,yep. it was pretty much horror flick guy came at me with a broken bottle,how old are you? what is the movie about?<|endoftext|>
3275,wow where did that happen? things never happen like that in south carolina, chase him? lol what else do you do?<|endoftext|>
3276,feeling no pain but its an army hospital so its not going to last... bar fight,igator guts mostly. but then the next hit was a tree. i was in a car accident and had to get surgery. never again.<|endoftext|>
3277,are you in trouble?,i am in texas so i've some family in the hospital. so i understand.<|endoftext|>
3278,oh hells yeah. i will not see daylight for a long time,nah. just being a rebel. being a rebel is not easy. being a rebel is a crime. being a rebel is a crime. being a rebel is a crime. no matter what<|endoftext|>
3279,what caused this? i seen a sick bar fight before i graduated college,i'm in trouble too. my dad is the man. the man. the man....<|endoftext|>
3280,i do not remember. i know the guy was an ugly f with four arms,Someone threw a bottle at me. i have a bad temper.<|endoftext|>
3281,haha. youre funny. are you in the army?,Sounds like he was a thug. what else do you do?<|endoftext|>
3282,hells yeah. it was that or prison. so they said,Na i am just a kid from an island<|endoftext|>
3283,army beats that. i am a wedding singer,hey i'll be a doctor and i will help people like a doctor!<|endoftext|>
3284,what! that is the coolest do you have a big nose like in the movie?,hey you are pretty good. keep it up!<|endoftext|>
3285,"no, that guy is way cooler than me. i just started out a year ago","hey, i do not mind the weather.... just can't wait for halloween!<|endoftext|>"
3286,"hi, i love ralph my dog, sister lives with me also",<|endoftext|>
3287,you can bring ralph over. i am a dog stylist. eccentric is what i am., i love ralph. i also love college things that belonged to the confederacy and union.<|endoftext|>
3288,do you like to dance? i do!,how about my salsa and tango? do you like them?<|endoftext|>
3289,"no, i do like to collect civil war antiques. i put alot of time into that.", foreigner is just another way of saying female. i don't dance.<|endoftext|>
3290,you are? i am a girl that is mixed., tango and salsa are my favorite things to do<|endoftext|>
3291,are you single? i can fake a british accent if it makes me more attractive.,how interesting. my experience with marriage is quite interesting. some people don't like that. some do not like foreign. some do not like animals.<|endoftext|>
3292,i want to dance with a nice person.,Tango and salsa are my favorite things to do.<|endoftext|>
3293,as long as you do not bring any mangoes. i am seriously allergic., me too. i've had a lot of experience with that.<|endoftext|>
3294,try to that now? i like to heard it. that will be awesome,i will not bring any mangoes.<|endoftext|>
3295,not sure what you tried to say there. have you been married?,<|endoftext|>
3296,"oh too bad, i love mangoes, i do not like to talk about my parents.","nope, my parents are different colors.<|endoftext|>"
3297,"i was married 4 times, and lost three of them in accidents.",what parents do you not like?<|endoftext|>
3298,"i am a single girl, still very young to marry.","how sad. my parents are different colors, but i love them.<|endoftext|>"
3299,"you are never to young to be in love, my dear.",how old are you?<|endoftext|>
3300,"sorry to heard that, are you sad now?",how old are you?<|endoftext|>
3301,"no, why would i be? it was their time.",not really.<|endoftext|>
3302,hello there. how are you doing?,<|endoftext|>
3303,omg! i love one tree hill,hey i am good. how are you?<|endoftext|>
3304,"hm, not my cup of tea or should i say scotch. substandard writing.",how is that? i've read a few by stephen king. they are so good!<|endoftext|>
3305,what is your favorite color? mine is purple.,"hey, i'm more into movies than movies. but movies are okay<|endoftext|>"
3306,"wow, you seem to suffer from add a bit.... i like black.", purple is a great color. i also love the color green.<|endoftext|>
3307,i do see things differently! what do you do for work?,"hey, whatever works. i am also very religious.<|endoftext|>"
3308,xd i was only joking with you. i am a writer. what do you do?," author, fiction, and mixed martial arts. i also work with alcoholics. all three of my classes have been arrested.<|endoftext|>"
3309,i help people everyday in a hospital.,"RDn, i am a catholic and believe in church and state religion.<|endoftext|>"
3310,that seems noble enough. do you do anything in your free time?,", care for a bit, while my good buddy dr.inks. helps take the edge off.<|endoftext|>"
3311,i volunteer at the animal shelter what about you?,ain't got time for that. i'm a rn.<|endoftext|>
3312,i like to watch movies. action. i really like anything batman, i read a lot. my favorite is dr. zhivago. a great book.<|endoftext|>
3313,i love superheroes!! are you going to dress up for halloween?,<|endoftext|>
3314,"nah, probably just relax with a scotch. animal shelter? ever been bit by a dog?",nope. i am going to read a good book.<|endoftext|>
3315,yes! i actually have come across a lot worse. they are having a party at the church.,Once by a dog. it was scary.<|endoftext|>
3316,"hello, how are you this evening?", at least i can travel to another country at least once a year.<|endoftext|>
3317,i am good just getting back from work,hey! i am doing well. how are you?<|endoftext|>
3318,"same here, though i am coming from class. law school student.",what do you do for work?<|endoftext|>
3319,that is nice i teach kindergarten,what do you do for a living?<|endoftext|>
3320,how long have you been going that?, cool. what do you do for a living?<|endoftext|>
3321,just two years its rewarding but the pay is low,5 years. i also work part time as a tutor.<|endoftext|>
3322,"that is why i am studying law. the pay is good,", perseverance! what do you do for fun?<|endoftext|>
3323,yeah that is definitely a bonus,what do you do for fun?<|endoftext|>
3324,i also love to travel and take adventures. what are your hobbies?, getting to know people and learning about different cultures is a great thing.<|endoftext|>
3325,i like to hang out with friends, playing video games and relaxing with my dog<|endoftext|>
3326,nice. where do you like to go?,", dogs are my favorite. what adventures have you gone on?<|endoftext|>"
3327,we like to do different things do you have pets,mostly state fairs and state fairs are fun<|endoftext|>
3328,i have a dog. his name is max, dogs? i like dogs.<|endoftext|>
3329,that is cute i have a cat,"mine is named nugget, she's my first pet<|endoftext|>"
3330,"hi there, how are you?", salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson. salesperson.<|endoftext|>
3331,hey i am good how about you,"hi, i'm fine. how are you today?<|endoftext|>"
3332,i am doing good. just enjoying listening to the band rush. you like them?," pretty good, just listening to some close to heart.<|endoftext|>"
3333,i never heard of them actually,"i am more into movies, i love feeling the music when i watch movies<|endoftext|>"
3334,"oh, you will have to look them up", they are pretty good. what do you do for work?<|endoftext|>
3335,i might do that do you have any animals?,what kind of music do you like?<|endoftext|>
3336,"no, i work too much at my sales job",none that i know of<|endoftext|>
3337,oh that is understandable i do not know what i would do if i did not have my dog ginger,"ahh i see, i am mainly into the cinema myself.<|endoftext|>"
3338,do not know what i would do without my graphics design hobby. it keeps me going,He helps me with my sales job<|endoftext|>
3339,"i know how you feel, i build model cars",Fair enough. i travel a lot too.<|endoftext|>
3340,"i attended a friends wedding last week, and its had me thinking about life",hello my hobby is to visit places with art<|endoftext|>
3341,"i just got married recently, my wife had our daughter a few months ago", life. the car world is a crazy place<|endoftext|>
3342,congratulations! i am hoping to be in your position at some point,<|endoftext|>
3343,thank you and its the most amazing feeling in the world,fingers crossed you'll get there<|endoftext|>
3344,"man, now i am jealous haha","indeed, i know what you mean<|endoftext|>"
3345,lol you will have the opportunity to one day, congratulation on the marriage<|endoftext|>
3346,"good morning, it is beautiful today. do you swim to school?", daily.<|endoftext|>
3347,"good morning to you! no, i ice skate to college.","nah, i prefer to stay home and catch animals in cold water<|endoftext|>"
3348,"i could not do that, i have a tail and live in a coral reef.","ah, i meant to say wo not be in the water but love swimming in the ocean.<|endoftext|>"
3349,fun! we must live in totally different climates. i have been out fishing all day.,"you live in a coral reef? that's awesome! i live in a greenhouse, so i can catch animals in cold water.<|endoftext|>"
3350,the fish and other sea creatures are friends of mine.,"ich! i could never do that, i love the ocean. swimming is the best.<|endoftext|>"
3351,i mostly use the animals for food. polar bears taste really good and are fun to hunt.," i love to swim, but not in the cold. i love to catch animals in cold water.<|endoftext|>"
3352,what are polar bears? i have never heard of them. i swim with the penguins., i could eat a bear.<|endoftext|>
3353,a big white bear that eats meat. wow penguins! we have those around here.,"They're ice skating, similar to how we fish in the ocean.<|endoftext|>"
3354,"i am in school most of the day, i will ask neptune about them."," they're ice skating, not bears.<|endoftext|>"
3355,"if you ever have a question about rocks, i am your person. i used to teach.", are they cold blooded?<|endoftext|>
3356,i know mainly about shells and the creatures that inhabit them.,what is your favorite rock?<|endoftext|>
3357,i will learn about that one day. i am more interested in ice currently.,biology is my passion. i want to save people.<|endoftext|>
3358,"i have never seen ice, what is it?", penguins and mermaids. biology is my favorite subject.<|endoftext|>
3359,"frozen water. i love exploring the arctic, ice as far as you can see.",Physically it is huge. even animals cannot swim or eat it.<|endoftext|>
3360,hey there how are you i seen a spider an cried i hate snakes too,<|endoftext|>
3361,i am good. yikes i hate spiders too,"hey there, you alright? my best attribute is my beard.<|endoftext|>"
3362,"yes i hate them, married? i am not with no kids","hey there, how is being single? i hope it is a happy place.<|endoftext|>"
3363,nope and no kids either. i love my horses like kids,"nope, not married. i wish i had a wife<|endoftext|>"
3364,really? my parents died 2 years ago,what kind of horses do you have?<|endoftext|>
3365,sorry to hear that! must be hard,hey at least you have a good beard. my is the best.<|endoftext|>
3366,"yes it is they died in accident, i also am a writer",just fine without kids. just me and my books<|endoftext|>
3367,i am hoping retire soon maybe i can write then,hey me too! my english is kinda so so so<|endoftext|>
3368,oh what are you retiring from?,i work as an engineer<|endoftext|>
3369,"construction, my left leg hurts every day",Eschatology. its a hard field but someone will find it rewarding<|endoftext|>
3370,wow why? i am a engineer,hey i hate 8 legs<|endoftext|>
3371,just from all years pouring concrete. what kind engineer,so you can work on horses?<|endoftext|>
3372,"i bet, computer is the kind","phalt and stuff, no legs no problem<|endoftext|>"
3373,cool! once i retire finally going shave my beard,hey i fix computers an make money<|endoftext|>
3374,how long is it? real long?,do you have any hobbies?<|endoftext|>
3375,yes to mid chest right now,About 6 inches<|endoftext|>
3376,"i divorced doug, gave up my kids and killed the cat. hi, name is john.", who had many children.<|endoftext|>
3377,hi john. jessie here. i am from canada. where are you from?,<|endoftext|>
3378,get out! i make and sell jewelry online. i am from new york. you married?,"York, finished my 30s and decided to move to the midwest. i now spend my days creating new toys and children.<|endoftext|>"
3379,just recently to my high school sweetheart. we are both 19.,"nope, not married. doug is still alive and well. but i am not old enough to get married.<|endoftext|>"
3380,hi jessie. you sing? you married young huh? any pets?, doug my ex husband was from new york. you have any kids?<|endoftext|>
3381,"oh, i love to sing in the shower country mostly. what music do you like?",no pets. john is allergic to dogs.<|endoftext|>
3382,jazz. whats your spouse name jessie? i am 40.,"hi jessie. i do not sing, but i have tons of energy.<|endoftext|>"
3383,"oh, my husband alex likes jazz.",Doug. i met him when i was 17. we are still married. no pets. any children?<|endoftext|>
3384,i see. i hate to sit still so i dance. you dance jessie?, john is my partner. we have been together for 7 years. we have a large family. kids?<|endoftext|>
3385,"no, not really. i only dance if i drink. mostly, i stick to iced tea, though.",i do not dance. i cannot stand to watch tv.<|endoftext|>
3386,wow! hmmm. can alex build anything with his hands? i can., iced tea is pretty good. what else do you like doing?<|endoftext|>
3387,what kinds of things do you like to build?,hi jessie. what do you like to drink? i prefer diet cokes.<|endoftext|>
3388,jewelry. you and alex have kids?, anything. you ever had a cup of tea?<|endoftext|>
3389,not yet. we are waiting for the right time. how many kids do you have?,do you build jewelry? you married? doug married? i am.<|endoftext|>
3390,i had two. my ex has custody and i sing in the shower. alex sing?,457 kids. not enough space for activities.<|endoftext|>
3391,do you ever see them? that sounds so sad.,<|endoftext|>
3392,good afternoon how are you,<|endoftext|>
3393,good evening here. lol. good how are you,"hello, i'm fine. how are you today?<|endoftext|>"
3394,i am great i am usually crabby,imi kind of cranky but i think its my personality<|endoftext|>
3395,sorry that must suck. i recently got a new cat that cheers me up,"abby, i like tuna and lots of sauce.<|endoftext|>"
3396,i love animals they are great company, my personality is a bit of a cranky mess.<|endoftext|>
3397,they sure are. what do you do for fun,"Yeah, i need company. i like to take care of people.<|endoftext|>"
3398,i listen to a band after work,i like punk music and music<|endoftext|>
3399,music is key to life. remember that.,what kind of music do you like?<|endoftext|>
3400,i sure will that is great advice,i love punk music<|endoftext|>
3401,thanks. i worry about the environment sometimes too," also important. i love to sew, and i love to eat<|endoftext|>"
3402,well no since in worrying unless you fix it,so do you like the outdoors?<|endoftext|>
3403,i think about that too. bums me out,Well that's very true.<|endoftext|>
3404,i can only imagine work keeps me entertained,lead the change and go vegan.<|endoftext|>
3405,do you enjoy what you do?,i do not work myself but i do volunteer at the dumpster<|endoftext|>
3406,yes i am an engineer,Yeah i love what i do<|endoftext|>
3407,oh that probably is good money huh?,so you are quite busy?<|endoftext|>
3408,i read newspapers about politics every day and night.,<|endoftext|>
3409,that sounds interesting! do you also like working out?,do you enjoy the work you do?<|endoftext|>
3410,yes although i do not enjoy it as much as watching the tv news., i work out when i can. i try to keep up with current events.<|endoftext|>
3411,"me too. i am kind of busy with work, so i only go once a week",<|endoftext|>
3412,it is the department where i work. what is your pleasure?,<|endoftext|>
3413,i usually enjoy reading and just spending time with friends, delivery. i love it. babies are a big help for the babies.<|endoftext|>
3414,where do you and your friends go? to the bars?,<|endoftext|>
3415,"not really, we usually go shopping on the weekends",Sometimes we go to the movies.<|endoftext|>
3416,they have a nice mall by my house. just opened up.,<|endoftext|>
3417,that sounds great too me! because of work i am always so tired,do you drink? i don't have a lot of time for it anymore.<|endoftext|>
3418,do you like to read? i can not seem to find enough books.,<|endoftext|>
3419,"yes, i do in my free time",Maybe i will read a biography about you!<|endoftext|>
3420,what is your favorite book?,<|endoftext|>
3421,i enjoy scientific books like stiff by mary roach,"1984, although it isn't a very good book<|endoftext|>"
3422,i like stephen king books. i hear there is a sequel to it.,<|endoftext|>
3423,"the king of horror, i am not brave enough for his book",whats your favorite movie?<|endoftext|>
3424,hello there how are you today,<|endoftext|>
3425,i am wonderful. i just finished my book. how are you?,"hi, i'm fine. i'm an engineer. what do you do?<|endoftext|>"
3426,"oh, are you writing a book",which one? i am reading a book on my grandchildren.<|endoftext|>
3427,"yes, i write sci fi. do you enjoy reading?", sci fi. my parents are no longer alive.<|endoftext|>
3428,sometimes yes. i bike a lot so that takes up a lot of my time,ipedia says i'm an author<|endoftext|>
3429,that is nice. what do you do for work?, what is your favorite book?<|endoftext|>
3430,"i am a nurses aide, so i assist with elderly people.",i am an accountant. what do you do?<|endoftext|>
3431,wonderful. my parents both had wonderful aides before they passed., nice. i'm a engineer.<|endoftext|>
3432,i am sorry about your parents but that is great they had good care,<|endoftext|>
3433,where did you go to school?,<|endoftext|>
3434,"i went to a community college, where did you go?",vard. i was very athletic.<|endoftext|>
3435,mit. i studied engineering but ended up pursuing writing instead.,"York university, usm, usa. i love going to the movies.<|endoftext|>"
3436,wow that is very impressive, what do you do for fun?<|endoftext|>
3437,thank you. where did you grow up?,"hey, do you have any hobbies?<|endoftext|>"
3438,"hello, what are you up to",<|endoftext|>
3439,"hello, i am sewing some quilts for my nieces.","hello, i am relaxing with my feline pets.<|endoftext|>"
3440,oh i adore my boss,good afternoon how are you today?<|endoftext|>
3441,"that is amazing, what fo you do. i retired from banking.", he was the best banker i ever had.<|endoftext|>
3442,i meant i adore the niece of my boss. i clean kennels in a shelter.,"i work with animals, i love them<|endoftext|>"
3443,oh i love animals! i have a cat he is siamese.,tsy is fun. i love to crochet.<|endoftext|>
3444,"oh i agree, i much prefer animals to human creatures.",what is your favorite music?<|endoftext|>
3445,"yes, do you have any hobbies. i like to walk everyday at least a mile.",<|endoftext|>
3446,how healthy! i enjoy listening to a simple plan. do you enjoy music?,<|endoftext|>
3447,i do like music. much easier to go to concerts now that i am retired.,"hello, yes i love music. i listen to pop music sometimes.<|endoftext|>"
3448,yes you are lucky. being around people irritates me,<|endoftext|>
3449,you dislike people that much. do you have children?,how long have you been retired?<|endoftext|>
3450,"oh no, i could not stand it. do you?"," not that much, maybe one day. maybe an orphan.<|endoftext|>"
3451,"yes, but they are all grown now.","hello, i don't have children.<|endoftext|>"
3452,my boss niece is grown too,how old are your kids?<|endoftext|>
3453,"you seem to like her, you have talked about her a lot.","well, you still have family.<|endoftext|>"
3454,how are you tonight? did you go to college?,<|endoftext|>
3455,i am good. i prefer artistic endeavors to scholarly ones. you?,i am tired. i have been working at the lab all day. why are you tired?<|endoftext|>
3456,"well, my job is stagnant so i am considering school. what do you do?","hello, i'm a high school student. i do not know my parents.<|endoftext|>"
3457,i earn a paycheck at a research facility cleaning cages. what would you study?,biology at the lab. i enjoy it. it is a good job.<|endoftext|>
3458,"i was thinking about nursing, the golden arches does not pay well.",biology. sounds interesting. i do not know what to do after high school.<|endoftext|>
3459,i understand. luckily i decided to create my art from trash so it is free!,Neither does mine. what do you do in your spare time?<|endoftext|>
3460,"that sounds so exciting. my aunt was an artist, she painted when i was growing up.",<|endoftext|>
3461,cool! what do you like to do in your free time?,<|endoftext|>
3462,"i go visit the animals on my aunt and uncles farm, i grew up there, you?",ine with the kiddos and enjoy the quiet. what do you do for fun?<|endoftext|>
3463,that sounds fun. i spend my free time on art.," recycle, recycle, recycle, recycle. i love it. it is the best.<|endoftext|>"
3464,"i wish i was artistic, i can barely draw stick figures. you sound interesting.", are you a graduate?<|endoftext|>
3465,fortunately i am long on personality because i am short on height!,ikr. creativity is onlychie<|endoftext|>
3466,"funny too! i am pretty average, but i am alright with that!", personality comes from a large number of sources.<|endoftext|>
3467,thanks for the chat it was fun!,<|endoftext|>
3468,hi how you doing tonight let us chat and get to know each other some.,<|endoftext|>
3469,sounds like a good idea. i am good. do you work," sounds good. i am okay, thanks for asking.<|endoftext|>"
3470,i am employed working with old people in a nurse unit.,"nope, i don't work. just spend a lot of time with the elderly.<|endoftext|>"
3471,that is a noble career. i haul load over the country.,i work in a nursing home. i've a lot of kids<|endoftext|>
3472,cool sounds exciting i birthed three kids and raising 6 grands.,good for you. i take care of elderly people.<|endoftext|>
3473,wow that is a busy beaver. i have 7 myself, i've a ton of kids. do you have any hobbies?<|endoftext|>
3474,nice family is great i like caring for all kinds of people young and old.,i've a bit of a pet lizard. she's a exotic.<|endoftext|>
3475,i am just a little rough around the edges for that. lol,eh i rather spend my time working on the road<|endoftext|>
3476,yes i like going bike riding near the mountains.,hey i have a lot of animals too. i consider myself to be athletic.<|endoftext|>
3477,that sounds like fun. i was born for hard work,8 months pregnant woman with twins. lets chat.<|endoftext|>
3478,cool me to working pays off someday. do you have animals?,led into sport when i was young and never really learned how to skate.<|endoftext|>
3479,a few dogs. tho i am not able to walk them like i should,"8 grands, 4 cats and 4 dogs.<|endoftext|>"
3480,oh i am sorry i love all animals have two dogs and a black cat.,Word on the couch is bring them along.<|endoftext|>
3481,what type of music do you like?,Mine is a big dog<|endoftext|>
3482,i love r b and rap music also some country and gospel.,mostly country and classical<|endoftext|>
3483,i do enjoy some good gospel and country music,<|endoftext|>
3484,hi. how are you? my name is joanna, i love to sing. i love to sing.<|endoftext|>
3485,i am doing well. my name is rachel. yourself?,"hi joanna, i am sarah. i am also the youngest of seven girls. how is your day going?<|endoftext|>"
3486,where did you go to college?, rico. i am in the us. also working. do you like halloween? its my favorite.<|endoftext|>
3487,i am still attending at cypress. i binge eat a lot because of this.,voneland university. where are you from?<|endoftext|>
3488,"i have a degree in psychology from usc, but i am a professional singer",good for you! i am working now in retail. so i can more easily spend my time working.<|endoftext|>
3489,oh damn. tha a t is awesome! i wish i could do that for a living., what kind of music do you sing?<|endoftext|>
3490,where are you from? i am from south carolina. i love the south!,what do you do now?<|endoftext|>
3491,california! in my spare time all i get to do is read novels of the supernatural., georgia. i've a lot of brothers and sisters. you have any siblings?<|endoftext|>
3492,watching horror films is my favorite!, i love halloween. it is my favorite.<|endoftext|>
3493,n o o way! my siblings love to watch horror as well.,<|endoftext|>
3494,i love watching horror films,<|endoftext|>
3495,my six older sisters love to watch horror and eat a pizza.,<|endoftext|>
3496,actually my real favorite is paranormal shows,"my brother and i started watching at the same time, i was very scared<|endoftext|>"
3497,my youngest brother enjoys more of my genre the paranormal as well.,<|endoftext|>
3498,6! wow. i am an only child.,<|endoftext|>
3499,yeah? you are not missing out. seven siblings is a hassle.,... how cool is that?<|endoftext|>
3500,"hello, how are you this evening?",<|endoftext|>
3501,"its a great night here in the mountains, you?","good evening, i'm doing fine, how are you?<|endoftext|>"
3502,its chilly here in ohio.,antic. night here too. just studying for school and oceanography.<|endoftext|>
3503,i do not mind chilly. i do not like snow though," i love the mountains, i grew up in the south.<|endoftext|>"
3504,"i do not like to be cold, though snow is beautiful.",Neither do i. i love the ocean.<|endoftext|>
3505,"the snow makes it hard to walk the dogs, do you have pets?","Until it snows, i do not like it.<|endoftext|>"
3506,i do not. my dog passed a few years ago.,i have a cat named snowball.<|endoftext|>
3507,that is always hard. i love pets. besides my 2 dogs there are 3 cats,do you like the outdoors?<|endoftext|>
3508,"i am going to school next year, for marine biology.",<|endoftext|>
3509,that sounds great. my parents both taught science,"do you like the beach? i love the beach, especially when you ride down the road.<|endoftext|>"
3510,science and biology are my strongest subjects.,<|endoftext|>
3511,my parents would love you. i think i might try for a teaching degree,<|endoftext|>
3512,that is so awesome. my parents are disappointed.,<|endoftext|>
3513,i bet that is not true. who would not want their child to be scientist,what do you want to do when you graduate?<|endoftext|>
3514,parents who are high profile attorneys.,Parents are so proud of you!<|endoftext|>
3515,well they will come around. and if they do not you have to be happy,hello? where are you from?<|endoftext|>
3516,how are you doing today?, in a hospital administration building.<|endoftext|>
3517,i am great! how are you doing on this fine evening?,"i'm doing well, just working on some new design plans.<|endoftext|>"
3518,good. just eating some pizza on my night off.," eating my favorite food, grapes.<|endoftext|>"
3519,cool. i only eat kosher meat so i have to make my own pizzas., i'm having a late night here.<|endoftext|>
3520,homemade pizzas are the best. what kind of work do you do?, are you religious? i'm orginally religious.<|endoftext|>
3521,i work in advertising. how about you?,design for a few different companies. what do you do?<|endoftext|>
3522,"i am a nurse at a kids hospital. long days, but kids make it fun.",i am a rn. i love movies. what kind of foods do you like to eat?<|endoftext|>
3523,"awww, how fulfilling! so are you enjoying your pizza all alone or with friends?"," they are the best. i was in school for design, but my soul sister was in elementary school.<|endoftext|>"
3524,with my family. about to veg out on some netflix., with friends? i just had an italian dinner myself.<|endoftext|>
3525,"just the significant other, or do you have kids of your own?",kids are such fun. i love to go to other countries with my family.<|endoftext|>
3526,i have one child who is with a friend tonight.,"With the kids, i feel like i am always busy.<|endoftext|>"
3527,"awesome, so just spouse time tonight? i know nursing hours can be hard on quality time.","sweet! i am not married yet, but hopefully i find someone when i am older.<|endoftext|>"
3528,he is actually playing the xbox. the kiddo does not always share.,"Plus, i have to go to church after this. i'm about to cook a big meal.<|endoftext|>"
3529,ha! i know those feels. how long have you been married?,how fun. do you have plans for the day?<|endoftext|>
3530,14 years this year. how about you?,9 years now.<|endoftext|>
3531,no time for such yet. my job keeps me on the go.,i have been married for 8 years now.<|endoftext|>
3532,hello. i am eating sausage and bacon for breakfast. what are you having?,<|endoftext|>
3533,i just finished bacon and pancakes.,whats your favorite breakfast? i am having sausage and bacon. i also had some fruit.<|endoftext|>
3534,as a doctor i should know to eat less bacon but it is just so god, nice. i am having sausage and bacon for dinner as well.<|endoftext|>
3535,that is true. i am studying to become a fashion designer., me too. i used to eat bacon but i am trying to get back in shape.<|endoftext|>
3536,so cool! since i am into bodybuilding i do not wear many clothes,what do you do for a living?<|endoftext|>
3537,i lifted weights in prison. i did some time for stealing.,what do you do for fun?<|endoftext|>
3538,oh so did my brother. my secretary mom was so upset about it,how long did you go in to prison?<|endoftext|>
3539,my parents do not care about me. they are hardly ever around.,Eventually i moved out of the house and started my own business.<|endoftext|>
3540,i am sorry to hear that. do you have any siblings or kids?,how can you not tell that'sn't nice?<|endoftext|>
3541,i would love to be a mom but i am trying to turn my life around., 2 brothers. i spend most of my time alone.<|endoftext|>
3542,good luck! i have seen many success stories in my work as a doctor,what do you mean by turning your life around?<|endoftext|>
3543,thank you. do you have any children?,<|endoftext|>
3544,i do not. too busy bodybuilding and working at the doctors office,one sister. she is a wonderful woman.<|endoftext|>
3545,being a doctor is very important. are you a specialist?,good for you but please do not make me lonely!<|endoftext|>
3546,i am a general practitioner,i am not sure what i want to be yet. but this is fun!<|endoftext|>
3547,you must see a lot of different people and ailments.,<|endoftext|>
3548,hello! good evening. how are you doing?,<|endoftext|>
3549,doing well thanks. just got home from the synagogue.,"hi! i'm fine, thank you. and yourself?<|endoftext|>"
3550,what does synagogue means? it is my first time i hear this word.,"oh, what do you do for a living?<|endoftext|>"
3551,it is a jewish church. it is in manhattan.,it is a place where people pray and sing.<|endoftext|>
3552,seems you are religious person., is it really? is it like a big gathering of people? or just a small gathering of people?<|endoftext|>
3553,i love my jewish heritage., yes i'm. i also like to travel. use the subway for my daily transportation.<|endoftext|>
3554,can you speak jewish language?,how about your food? no meat for me.<|endoftext|>
3555,no yiddish is too difficult.,sure. i know some swiss and french.<|endoftext|>
3556,how many languages can you speak?, impractical for a person of my size.<|endoftext|>
3557,the only language i speak is english, four. and also chinese.<|endoftext|>
3558,i love to know a lot of languages., and what is your favorite food?<|endoftext|>
3559,do you like the office? it is my favorite show., i cannot say i know any.<|endoftext|>
3560,no i do not see this show., office is fun to watch. very slow paced.<|endoftext|>
3561,you should look it up because it is great., executive producer is my job.<|endoftext|>
3562,at which channel i can see this show?, office is a good show.<|endoftext|>
3563,i think its on fox. or netflix.,Try watchwishful. it is a channel that puts forward new shows from the studios of famous people.<|endoftext|>
3564,"hey, tell me about yourself?",<|endoftext|>
3565,i love my job as a kindergarten teacher. what do you do?,"i live in ny, and i work with kids in elementary school. i also teach at a large school.<|endoftext|>"
3566,"i love sports, specifically soccer","how old are you, i am 26, and i am a student at university.<|endoftext|>"
3567,do you have children? i love my kids.,how fun! i also love to exercise and play soccer.<|endoftext|>
